crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,day_of_week,month,is_weekend,year
2021-12-10,7,QUEENS,11420.0,40.674263,-73.80453,"
,  
(40.674263, -73.80453)",Unknown,Unknown,122-42    134 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4485866,Sedan,Unknown,Friday,December,0,2021
2021-12-07,9,BROOKLYN,11207.0,40.70476,-73.96491,"
,  
(40.70476, -73.96491)",TAYLOR STREET,Unknown,Unknown,0,0,0,0,0,0,0,0,Steering Failure,Unknown,4485192,Station Wagon/Sport Utility Vehicle,Unknown,Tuesday,December,0,2021
2021-12-09,8,BROOKLYN,11207.0,40.569626,-74.190735,"
,  
(40.569626, -74.190735)",WEST SHORE EXPRESSWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4485214,Sedan,Station Wagon/Sport Utility Vehicle,Thursday,December,0,2021
2021-12-07,17,BROOKLYN,11205.0,40.698463,-73.960205,"
,  
(40.698463, -73.960205)",FLUSHING AVENUE,KENT AVENUE,Unknown,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4485437,Unknown,Unknown,Tuesday,December,0,2021
2021-12-05,8,BROOKLYN,11212.0,40.658413,-73.9171,"
,  
(40.658413, -73.9171)",Unknown,Unknown,393       ROCKAWAY PARKWAY,0,0,0,0,0,0,0,0,Unspecified,Unknown,4485408,Sedan,Unknown,Sunday,December,1,2021
2021-12-08,19,MANHATTAN,10022.0,40.76175,-73.96899,"
,  
(40.76175, -73.96899)",Unknown,Unknown,127       EAST 58 STREET,1,0,0,0,1,0,0,0,Following Too Closely,Reaction to Uninvolved Vehicle,4484852,Station Wagon/Sport Utility Vehicle,Bike,Wednesday,December,0,2021
2021-12-08,12,MANHATTAN,10011.0,40.736614,-73.9951,"
,  
(40.736614, -73.9951)",Unknown,Unknown,44        WEST 14 STREET,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,4485542,Box Truck,Bike,Wednesday,December,0,2021
2021-12-08,22,STATEN ISLAND,10314.0,40.62121,-74.12385,"
,  
(40.62121, -74.12385)",Unknown,Unknown,288       MANOR ROAD,0,0,0,0,0,0,0,0,Pavement Slippery,Unknown,4484906,Sedan,Unknown,Wednesday,December,0,2021
2021-12-08,17,BROOKLYN,11207.0,40.873737,-73.90593,"
,  
(40.873737, -73.90593)",MAJOR DEEGAN EXPRESSWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unknown,4485036,Sedan,Unknown,Wednesday,December,0,2021
2021-12-07,7,BROOKLYN,11207.0,40.66718,-73.95076,"
,  
(40.66718, -73.95076)",CARROLL STREET,Unknown,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4485772,Sedan,Sedan,Tuesday,December,0,2021
2021-12-08,0,QUEENS,11101.0,40.754295,-73.93946,"
,  
(40.754295, -73.93946)",23 STREET,40 AVENUE,Unknown,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unknown,4485565,Sedan,Unknown,Wednesday,December,0,2021
2021-12-08,15,BROOKLYN,11207.0,40.588116,-73.97261,"
,  
(40.588116, -73.97261)",AVENUE Y,Unknown,Unknown,0,0,0,0,0,0,0,0,Passing Too Closely,Unknown,4484836,Sedan,Unknown,Wednesday,December,0,2021
2021-12-10,11,BRONX,10461.0,40.854935,-73.85822,"
,  
(40.854935, -73.85822)",Unknown,Unknown,2123      LURTING AVENUE,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,4485340,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Friday,December,0,2021
2021-12-10,1,BROOKLYN,11207.0,40.662575,-73.93448,"
,  
(40.662575, -73.93448)",SCHENECTADY AVENUE,Unknown,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4485706,Station Wagon/Sport Utility Vehicle,Sedan,Friday,December,0,2021
2021-12-09,0,BROOKLYN,11207.0,40.7448,-73.953415,"
,  
(40.7448, -73.953415)",47 ROAD,Unknown,Unknown,1,0,1,0,0,0,0,0,Unspecified,Unknown,4485384,Sedan,Unknown,Thursday,December,0,2021
2021-12-08,18,BROOKLYN,11207.0,40.79672,-73.97618,"
,  
(40.79672, -73.97618)",HENRY HUDSON PARKWAY,Unknown,Unknown,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4484799,Sedan,Station Wagon/Sport Utility Vehicle,Wednesday,December,0,2021
2021-12-09,20,QUEENS,11004.0,40.752777,-73.70743,"
,  
(40.752777, -73.70743)",Unknown,Unknown,269-01    76 AVENUE,0,0,0,0,0,0,0,0,Illnes,Unknown,4485077,Sedan,Unknown,Thursday,December,0,2021
2021-12-09,10,BROOKLYN,11203.0,40.638523,-73.92607,"
,  
(40.638523, -73.92607)",KINGS HIGHWAY,FARRAGUT ROAD,Unknown,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,4485090,Sedan,Sedan,Thursday,December,0,2021
2022-03-26,14,STATEN ISLAND,10301.0,40.637833,-74.08193,"
,  
(40.637833, -74.08193)",CORSON AVENUE,WESTERVELT AVENUE,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4513697,Sedan,Sedan,Saturday,March,1,2022
2022-03-26,1,MANHATTAN,10025.0,40.797836,-73.96946,"
,  
(40.797836, -73.96946)",WEST 101 STREET,BROADWAY,Unknown,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,4513935,Sedan,Moped,Saturday,March,1,2022
2022-03-26,16,QUEENS,11373.0,40.734375,-73.87342,"
,  
(40.734375, -73.87342)",QUEENS BOULEVARD,57 AVENUE,Unknown,1,0,0,0,0,0,1,0,Lost Consciousness,Unspecified,4513794,Station Wagon/Sport Utility Vehicle,Sedan,Saturday,March,1,2022
